,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
4739,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4740,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4741,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4742,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4743,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4744,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4745,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4746,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4747,1104 m2,1104 m2,,1,1,Land ,Used ,,Tirana
4748,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4749,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4750,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4751,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4752,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4753,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4754,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4755,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4756,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4757,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4758,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4759,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4760,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4761,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4762,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4763,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4764,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4765,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4766,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4767,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
4768,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
4769,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4770,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4771,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4772,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4773,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4774,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4775,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4776,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4777,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
4778,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
4779,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4780,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4781,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4782,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4783,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4784,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4785,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4786,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4787,76 m2,58 m2,,1,1,Multipurpose space ,Used ,,Tirana
4788,96.78 m2,96.78 m2,,1,2,Parking ,New ,,Tirana
4789,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4790,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4791,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4792,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4793,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4794,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4795,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4796,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4797,180 m2,84 m2,,1,1,Apartment ,Under Construction ,,Himarë
4798,85 m2,66 m2,,1,2,Multipurpose space ,Used ,,Tirana
4799,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4800,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4801,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4802,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4803,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4804,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4805,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4806,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4807,1104 m2,1104 m2,,1,1,Land ,Used ,,Tirana
4808,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4809,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4810,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4811,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4812,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4813,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4814,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4815,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4816,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4817,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4818,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4819,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4820,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4821,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4822,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4823,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4824,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4825,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4826,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4827,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
4828,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
4829,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4830,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4831,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4832,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4833,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4834,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4835,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4836,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4837,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
4838,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
4839,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4840,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4841,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4842,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4843,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4844,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4845,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4846,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4847,76 m2,58 m2,,1,1,Multipurpose space ,Used ,,Tirana
4848,96.78 m2,96.78 m2,,1,2,Parking ,New ,,Tirana
4849,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4850,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4851,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4852,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4853,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4854,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4855,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4856,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4857,180 m2,84 m2,,1,1,Apartment ,Under Construction ,,Himarë
4858,85 m2,66 m2,,1,2,Multipurpose space ,Used ,,Tirana
4859,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4860,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4861,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4862,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4863,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4864,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4865,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4866,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4867,1104 m2,1104 m2,,1,1,Land ,Used ,,Tirana
4868,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4869,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4870,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4871,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4872,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4873,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4874,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4875,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4876,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4877,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4878,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4879,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4880,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4881,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4882,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4883,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4884,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4885,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4886,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4887,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
4888,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
4889,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4890,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4891,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4892,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4893,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4894,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4895,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4896,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4897,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
4898,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
4899,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4900,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4901,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4902,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4903,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4904,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4905,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4906,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4907,76 m2,58 m2,,1,1,Multipurpose space ,Used ,,Tirana
4908,96.78 m2,96.78 m2,,1,2,Parking ,New ,,Tirana
4909,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4910,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4911,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4912,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4913,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4914,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4915,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4916,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4917,180 m2,84 m2,,1,1,Apartment ,Under Construction ,,Himarë
4918,85 m2,66 m2,,1,2,Multipurpose space ,Used ,,Tirana
4919,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4920,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4921,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4922,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4923,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4924,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4925,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4926,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4927,1104 m2,1104 m2,,1,1,Land ,Used ,,Tirana
4928,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4929,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4930,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4931,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4932,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4933,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4934,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4935,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4936,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4937,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4938,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4939,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4940,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4941,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4942,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4943,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4944,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4945,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4946,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4947,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
4948,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
4949,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4950,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4951,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
