,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
0,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"150,000",Tirana
1,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
2,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
3,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
4,182 m2,145 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
5,168 m2,72 m2,1,1,2,Apartment ,Under Construction ,"150,000",Himarë
6,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
7,1104 m2,1104 m2,2,1,1,Land ,Used ,"170,000",Tirana
8,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
9,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
10,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
11,76 m2,58 m2,1,2,5,Multipurpose space ,Used ,"26,000",Tirana
12,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"170,000",Tirana
13,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
14,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
15,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
16,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
17,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
18,39 m2,30 m2,1,1,2,Multipurpose space ,Used ,"57,000",Tirana
19,1104 m2,1104 m2,1,1,2,Land ,Used ,"50,000",Tirana
20,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
21,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
22,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
23,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
24,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
25,86 m2,68 m2,1,1,2,Apartment ,Under Construction ,"150,000",Tirana
26,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"26,000",Tirana
27,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
28,182 m2,145 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
29,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
30,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
31,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
32,91 m2,38 m2,1,2,5,Apartment ,Under Construction ,"170,000",Himarë
33,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
34,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
35,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"150,000",Tirana
36,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
37,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
38,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
39,178 m2,141 m2,1,1,2,Apartment ,Under Construction ,"50,000",Tirana
40,182 m2,145 m2,1,2,5,Apartment ,Under Construction ,"150,000",Tirana
41,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
42,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
43,1104 m2,1104 m2,2,2,5,Land ,Used ,"57,000",Tirana
44,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"50,000",Himarë
45,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
46,85 m2,66 m2,1,1,1,Multipurpose space ,Used ,"26,000",Tirana
47,76 m2,58 m2,1,1,1,Multipurpose space ,Used ,"170,000",Tirana
48,96.78 m2,96.78 m2,2,1,2,Parking ,New ,"57,000",Tirana
49,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
50,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
51,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
52,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
53,168 m2,72 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
54,39 m2,30 m2,1,1,1,Multipurpose space ,Used ,"50,000",Tirana
55,1104 m2,1104 m2,2,1,2,Land ,Used ,"150,000",Tirana
56,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"26,000",Himarë
57,180 m2,84 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
58,85 m2,66 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
59,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"50,000",Tirana
60,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"150,000",Tirana
61,86 m2,68 m2,1,2,5,Apartment ,Under Construction ,"26,000",Tirana
62,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
63,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
64,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
65,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
66,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
67,1104 m2,1104 m2,1,1,1,Land ,Used ,"170,000",Tirana
68,91 m2,38 m2,1,1,2,Apartment ,Under Construction ,"57,000",Himarë
69,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
70,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
71,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"26,000",Tirana
72,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"170,000",Tirana
73,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
74,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
75,178 m2,141 m2,1,1,2,Apartment ,Under Construction ,"150,000",Tirana
76,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
77,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
78,39 m2,30 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
79,1104 m2,1104 m2,2,1,2,Land ,Used ,"50,000",Tirana
80,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
81,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"26,000",Himarë
82,85 m2,66 m2,1,2,5,Multipurpose space ,Used ,"170,000",Tirana
83,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
84,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
85,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
86,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
87,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
88,182 m2,145 m2,1,1,2,Apartment ,Under Construction ,"57,000",Tirana
89,168 m2,72 m2,1,1,2,Apartment ,Under Construction ,"50,000",Himarë
90,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
91,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
92,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"170,000",Himarë
93,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
94,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
95,76 m2,58 m2,1,1,2,Multipurpose space ,Used ,"150,000",Tirana
96,96.78 m2,96.78 m2,1,1,1,Parking ,New ,"26,000",Tirana
97,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
98,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
99,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
100,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
101,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
102,39 m2,30 m2,1,2,5,Multipurpose space ,Used ,"170,000",Tirana
103,1104 m2,1104 m2,1,2,5,Land ,Used ,"57,000",Tirana
104,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"50,000",Himarë
105,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
106,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
107,76 m2,58 m2,2,1,1,Multipurpose space ,Used ,"170,000",Tirana
108,96.78 m2,96.78 m2,2,1,2,Parking ,New ,"57,000",Tirana
109,86 m2,68 m2,1,1,2,Apartment ,Under Construction ,"50,000",Tirana
110,197 m2,157 m2,1,2,5,Apartment ,Under Construction ,"150,000",Tirana
111,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
112,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
113,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
114,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
115,1104 m2,1104 m2,2,1,2,Land ,Used ,"150,000",Tirana
116,91 m2,38 m2,1,1,1,Apartment ,Under Construction ,"26,000",Himarë
117,180 m2,84 m2,1,1,1,Apartment ,Under Construction ,"170,000",Himarë
118,85 m2,66 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
119,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"50,000",Tirana
120,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"150,000",Tirana
121,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
122,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
123,178 m2,141 m2,1,2,5,Apartment ,Under Construction ,"57,000",Tirana
124,182 m2,145 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
125,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
126,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
127,1104 m2,1104 m2,2,1,1,Land ,Used ,"170,000",Tirana
128,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
129,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
130,85 m2,66 m2,1,2,5,Multipurpose space ,Used ,"150,000",Tirana
131,76 m2,58 m2,1,2,5,Multipurpose space ,Used ,"26,000",Tirana
132,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"170,000",Tirana
133,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
134,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
135,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
136,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
137,168 m2,72 m2,1,1,1,Apartment ,Under Construction ,"170,000",Himarë
138,39 m2,30 m2,1,1,2,Multipurpose space ,Used ,"57,000",Tirana
139,1104 m2,1104 m2,2,1,2,Land ,Used ,"50,000",Tirana
140,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
141,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
142,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
143,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
144,96.78 m2,96.78 m2,1,1,1,Parking ,New ,"50,000",Tirana
145,86 m2,68 m2,1,1,2,Apartment ,Under Construction ,"150,000",Tirana
146,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
147,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
148,182 m2,145 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
149,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
150,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
151,1104 m2,1104 m2,1,2,5,Land ,Used ,"26,000",Tirana
152,91 m2,38 m2,1,2,5,Apartment ,Under Construction ,"170,000",Himarë
153,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
154,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
155,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"150,000",Tirana
156,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
157,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
158,197 m2,157 m2,1,1,2,Apartment ,Under Construction ,"57,000",Tirana
159,178 m2,141 m2,1,1,2,Apartment ,Under Construction ,"50,000",Tirana
160,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
161,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
162,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
163,1104 m2,1104 m2,2,2,5,Land ,Used ,"57,000",Tirana
164,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"50,000",Himarë
165,180 m2,84 m2,1,1,2,Apartment ,Under Construction ,"150,000",Himarë
166,85 m2,66 m2,1,1,1,Multipurpose space ,Used ,"26,000",Tirana
167,76 m2,58 m2,2,1,1,Multipurpose space ,Used ,"170,000",Tirana
168,96.78 m2,96.78 m2,2,1,2,Parking ,New ,"57,000",Tirana
169,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
170,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
171,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
172,182 m2,145 m2,1,2,5,Apartment ,Under Construction ,"170,000",Tirana
173,168 m2,72 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
174,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
175,1104 m2,1104 m2,2,1,2,Land ,Used ,"150,000",Tirana
176,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"26,000",Himarë
177,180 m2,84 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
178,85 m2,66 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
179,76 m2,58 m2,1,1,2,Multipurpose space ,Used ,"50,000",Tirana
180,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"150,000",Tirana
181,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
182,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
183,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
184,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
185,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
186,39 m2,30 m2,1,1,1,Multipurpose space ,Used ,"26,000",Tirana
187,1104 m2,1104 m2,1,1,1,Land ,Used ,"170,000",Tirana
188,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
189,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
190,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
191,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"26,000",Tirana
192,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"170,000",Tirana
193,86 m2,68 m2,1,2,5,Apartment ,Under Construction ,"57,000",Tirana
194,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"50,000",Tirana
195,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
196,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
197,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
198,39 m2,30 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
199,1104 m2,1104 m2,2,1,2,Land ,Used ,"50,000",Tirana
200,91 m2,38 m2,1,2,5,Apartment ,Under Construction ,"150,000",Himarë
201,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"26,000",Himarë
202,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
203,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
204,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
205,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
206,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
207,178 m2,141 m2,1,1,1,Apartment ,Under Construction ,"170,000",Tirana
208,182 m2,145 m2,1,1,2,Apartment ,Under Construction ,"57,000",Tirana
209,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
210,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
211,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
212,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"170,000",Himarë
213,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
214,85 m2,66 m2,1,1,1,Multipurpose space ,Used ,"50,000",Tirana
215,76 m2,58 m2,1,1,2,Multipurpose space ,Used ,"150,000",Tirana
216,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
217,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
218,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
219,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
220,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
221,168 m2,72 m2,1,2,5,Apartment ,Under Construction ,"26,000",Himarë
222,39 m2,30 m2,1,2,5,Multipurpose space ,Used ,"170,000",Tirana
223,1104 m2,1104 m2,2,2,5,Land ,Used ,"57,000",Tirana
224,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"50,000",Himarë
225,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
226,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
227,76 m2,58 m2,2,1,1,Multipurpose space ,Used ,"170,000",Tirana
228,96.78 m2,96.78 m2,1,1,2,Parking ,New ,"57,000",Tirana
229,86 m2,68 m2,1,1,2,Apartment ,Under Construction ,"50,000",Tirana
230,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
231,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
232,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
233,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
234,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
235,1104 m2,1104 m2,1,1,2,Land ,Used ,"150,000",Tirana
236,91 m2,38 m2,1,1,1,Apartment ,Under Construction ,"26,000",Himarë
237,180 m2,84 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
238,85 m2,66 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
239,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"50,000",Tirana
240,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"150,000",Tirana
241,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
242,197 m2,157 m2,1,2,5,Apartment ,Under Construction ,"170,000",Tirana
243,178 m2,141 m2,1,2,5,Apartment ,Under Construction ,"57,000",Tirana
244,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
245,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"150,000",Himarë
246,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
247,1104 m2,1104 m2,2,1,1,Land ,Used ,"170,000",Tirana
248,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
249,180 m2,84 m2,1,1,2,Apartment ,Under Construction ,"50,000",Himarë
250,85 m2,66 m2,1,2,5,Multipurpose space ,Used ,"150,000",Tirana
251,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"26,000",Tirana
252,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"170,000",Tirana
253,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
254,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
255,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
256,182 m2,145 m2,1,1,1,Apartment ,Under Construction ,"26,000",Tirana
257,168 m2,72 m2,1,1,1,Apartment ,Under Construction ,"170,000",Himarë
258,39 m2,30 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
259,1104 m2,1104 m2,2,1,2,Land ,Used ,"50,000",Tirana
260,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"150,000",Himarë
261,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
262,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
263,76 m2,58 m2,1,2,5,Multipurpose space ,Used ,"57,000",Tirana
264,96.78 m2,96.78 m2,1,1,1,Parking ,New ,"50,000",Tirana
265,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
266,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
267,178 m2,141 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
268,182 m2,145 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
269,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
270,39 m2,30 m2,1,2,5,Multipurpose space ,Used ,"150,000",Tirana
271,1104 m2,1104 m2,1,2,5,Land ,Used ,"26,000",Tirana
272,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"170,000",Himarë
273,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
274,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
275,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"150,000",Tirana
276,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
277,86 m2,68 m2,1,1,1,Apartment ,Under Construction ,"170,000",Tirana
278,197 m2,157 m2,1,1,2,Apartment ,Under Construction ,"57,000",Tirana
279,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
280,182 m2,145 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
281,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
282,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
283,1104 m2,1104 m2,2,2,5,Land ,Used ,"57,000",Tirana
284,91 m2,38 m2,1,1,1,Apartment ,Under Construction ,"50,000",Himarë
285,180 m2,84 m2,1,1,2,Apartment ,Under Construction ,"150,000",Himarë
286,85 m2,66 m2,2,1,1,Multipurpose space ,Used ,"26,000",Tirana
287,76 m2,58 m2,2,1,1,Multipurpose space ,Used ,"170,000",Tirana
288,96.78 m2,96.78 m2,2,1,2,Parking ,New ,"57,000",Tirana
289,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
290,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"150,000",Tirana
291,178 m2,141 m2,1,2,5,Apartment ,Under Construction ,"26,000",Tirana
292,182 m2,145 m2,1,2,5,Apartment ,Under Construction ,"170,000",Tirana
293,168 m2,72 m2,2,2,5,Apartment ,Under Construction ,"57,000",Himarë
294,39 m2,30 m2,2,1,1,Multipurpose space ,Used ,"50,000",Tirana
295,1104 m2,1104 m2,2,1,2,Land ,Used ,"150,000",Tirana
296,91 m2,38 m2,2,1,1,Apartment ,Under Construction ,"26,000",Himarë
297,180 m2,84 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
298,85 m2,66 m2,1,1,2,Multipurpose space ,Used ,"57,000",Tirana
299,76 m2,58 m2,1,1,2,Multipurpose space ,Used ,"50,000",Tirana
300,96.78 m2,96.78 m2,2,2,5,Parking ,New ,"150,000",Tirana
301,86 m2,68 m2,2,2,5,Apartment ,Under Construction ,"26,000",Tirana
302,197 m2,157 m2,2,2,5,Apartment ,Under Construction ,"170,000",Tirana
303,178 m2,141 m2,2,2,5,Apartment ,Under Construction ,"57,000",Tirana
304,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
305,168 m2,72 m2,1,1,2,Apartment ,Under Construction ,"150,000",Himarë
306,39 m2,30 m2,1,1,1,Multipurpose space ,Used ,"26,000",Tirana
307,1104 m2,1104 m2,2,1,1,Land ,Used ,"170,000",Tirana
308,91 m2,38 m2,2,1,2,Apartment ,Under Construction ,"57,000",Himarë
309,180 m2,84 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
310,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
311,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"26,000",Tirana
312,96.78 m2,96.78 m2,1,2,5,Parking ,New ,"170,000",Tirana
313,86 m2,68 m2,1,2,5,Apartment ,Under Construction ,"57,000",Tirana
314,197 m2,157 m2,2,1,1,Apartment ,Under Construction ,"50,000",Tirana
315,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
316,182 m2,145 m2,2,1,1,Apartment ,Under Construction ,"26,000",Tirana
317,168 m2,72 m2,2,1,1,Apartment ,Under Construction ,"170,000",Himarë
318,39 m2,30 m2,2,1,2,Multipurpose space ,Used ,"57,000",Tirana
319,1104 m2,1104 m2,1,1,2,Land ,Used ,"50,000",Tirana
320,91 m2,38 m2,1,2,5,Apartment ,Under Construction ,"150,000",Himarë
321,180 m2,84 m2,2,2,5,Apartment ,Under Construction ,"26,000",Himarë
322,85 m2,66 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
323,76 m2,58 m2,2,2,5,Multipurpose space ,Used ,"57,000",Tirana
324,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"50,000",Tirana
325,86 m2,68 m2,2,1,2,Apartment ,Under Construction ,"150,000",Tirana
326,197 m2,157 m2,1,1,1,Apartment ,Under Construction ,"26,000",Tirana
327,178 m2,141 m2,1,1,1,Apartment ,Under Construction ,"170,000",Tirana
328,182 m2,145 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
329,168 m2,72 m2,2,1,2,Apartment ,Under Construction ,"50,000",Himarë
330,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"150,000",Tirana
331,1104 m2,1104 m2,2,2,5,Land ,Used ,"26,000",Tirana
332,91 m2,38 m2,2,2,5,Apartment ,Under Construction ,"170,000",Himarë
333,180 m2,84 m2,1,2,5,Apartment ,Under Construction ,"57,000",Himarë
334,85 m2,66 m2,1,1,1,Multipurpose space ,Used ,"50,000",Tirana
335,76 m2,58 m2,2,1,2,Multipurpose space ,Used ,"150,000",Tirana
336,96.78 m2,96.78 m2,2,1,1,Parking ,New ,"26,000",Tirana
337,86 m2,68 m2,2,1,1,Apartment ,Under Construction ,"170,000",Tirana
338,197 m2,157 m2,2,1,2,Apartment ,Under Construction ,"57,000",Tirana
339,178 m2,141 m2,2,1,2,Apartment ,Under Construction ,"50,000",Tirana
340,182 m2,145 m2,1,2,5,Apartment ,Under Construction ,"150,000",Tirana
341,168 m2,72 m2,1,2,5,Apartment ,Under Construction ,"26,000",Himarë
342,39 m2,30 m2,2,2,5,Multipurpose space ,Used ,"170,000",Tirana
